PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW;2017 MAN;2017 VROUW;
Gelderland;0200;APELDOORN;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;propedeuse bachelor;5;3;6;3;1;1;2;3;5;3;
Gelderland;0200;APELDOORN;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;2;0;0;0;0;0;3;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;bachelor;1;5;1;2;1;4;2;6;5;10;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;164;107;146;92;117;75;139;95;198;125;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;3;2;4;4;4;3;5;8;10;5;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;propedeuse bachelor;99;34;100;39;97;31;92;42;107;44;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;bachelor;0;0;0;0;1;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;propedeuse bachelor;3;38;9;24;6;23;3;22;6;27;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;bachelor;0;0;0;0;0;0;0;1;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;propedeuse bachelor;9;33;14;22;10;15;4;25;6;18;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;0;1;0;2;0;1;0;1;1;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;propedeuse bachelor;79;286;69;238;61;197;160;424;88;265;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;bachelor;0;0;1;0;2;2;3;7;5;4;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;propedeuse bachelor;45;28;46;21;41;20;42;17;40;25;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;bachelor;0;1;0;0;0;1;0;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;propedeuse bachelor;7;154;5;105;6;73;1;52;7;97;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;bachelor;0;1;0;0;0;1;0;1;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;propedeuse bachelor;17;48;17;38;12;36;12;37;13;41;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;bachelor;1;0;0;0;2;0;0;0;1;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;propedeuse bachelor;39;27;36;23;26;17;22;20;34;35;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;bachelor;0;0;0;0;0;1;1;7;2;15;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;propedeuse bachelor;47;22;39;24;39;21;30;20;43;20;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;bachelor;0;0;0;0;0;0;1;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;propedeuse bachelor;91;184;98;180;80;175;90;169;78;187;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;propedeuse bachelor;16;40;13;41;14;38;18;41;19;35;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;propedeuse bachelor;30;60;30;68;27;67;29;69;34;63;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;bachelor;0;1;0;0;1;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;propedeuse bachelor;22;11;30;13;19;18;27;9;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;bachelor;1;0;1;1;0;2;0;0;2;2;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;propedeuse bachelor;79;121;67;90;64;99;62;97;60;127;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;bachelor;0;0;0;0;0;0;0;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;propedeuse bachelor;0;0;0;0;0;0;0;0;26;20;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;propedeuse bachelor;0;0;0;0;0;0;0;0;27;52;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;propedeuse bachelor;0;0;0;0;0;0;0;0;91;52;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;propedeuse bachelor;20;8;16;13;17;14;19;7;14;12;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;bachelor;1;0;0;0;1;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;propedeuse bachelor;47;1;52;5;52;8;46;4;55;6;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;propedeuse bachelor;21;11;31;8;34;16;20;8;32;14;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;propedeuse bachelor;43;20;36;18;58;30;83;39;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;bachelor;0;0;0;0;1;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;propedeuse bachelor;68;12;63;8;52;12;39;16;61;18;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;bachelor;0;0;0;0;0;0;1;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;propedeuse bachelor;27;27;22;17;24;30;31;40;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;propedeuse bachelor;18;33;25;45;21;38;22;43;15;35;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;bachelor;1;0;1;2;1;1;1;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;bachelor;0;0;0;0;0;0;0;0;1;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;propedeuse bachelor;121;162;106;161;113;162;110;156;103;154;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;bachelor;0;0;0;0;0;1;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;propedeuse bachelor;4;22;0;9;3;12;6;21;12;22;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;deeltijd onderwijs;bachelor;0;0;2;2;0;1;0;1;1;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;deeltijd onderwijs;propedeuse bachelor;0;0;0;0;0;0;1;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;voltijd onderwijs;bachelor;0;0;0;0;0;0;0;1;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;voltijd onderwijs;propedeuse bachelor;0;9;1;4;1;3;1;5;1;11;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56003;B Griekse en Latijnse Taal en Cultuur;voltijd onderwijs;propedeuse bachelor;13;16;8;6;7;8;4;7;6;10;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56034;B Geschiedenis;voltijd onderwijs;bachelor;0;0;1;1;0;0;0;0;1;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56034;B Geschiedenis;voltijd onderwijs;propedeuse bachelor;49;17;38;26;42;19;26;18;39;16;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56074;B Romaanse Talen en Culturen;voltijd onderwijs;bachelor;0;1;0;0;0;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56074;B Romaanse Talen en Culturen;voltijd onderwijs;propedeuse bachelor;5;21;8;19;8;11;2;8;4;6;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56081;B Wijsbegeerte;voltijd onderwijs;bachelor;1;0;0;1;2;0;1;1;0;3;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56081;B Wijsbegeerte;voltijd onderwijs;propedeuse bachelor;11;8;12;11;14;6;12;9;10;9;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;deeltijd onderwijs;bachelor;0;0;0;0;0;0;0;1;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;bachelor;0;0;0;0;0;0;0;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;propedeuse bachelor;0;0;0;1;0;0;0;2;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56803;B Taalwetenschap;voltijd onderwijs;bachelor;0;0;1;1;0;0;0;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56803;B Taalwetenschap;voltijd onderwijs;propedeuse bachelor;3;20;4;14;1;11;6;9;1;12;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56804;B Nederlandse Taal en Cultuur;voltijd onderwijs;propedeuse bachelor;4;27;2;18;3;9;5;11;2;7;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56805;B Duitse Taal en Cultuur;voltijd onderwijs;propedeuse bachelor;3;14;6;11;3;5;4;6;5;14;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56806;B Engelse Taal en Cultuur;voltijd onderwijs;bachelor;0;2;1;1;0;1;1;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56806;B Engelse Taal en Cultuur;voltijd onderwijs;propedeuse bachelor;21;55;12;55;23;37;11;42;11;34;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56823;B Algemene Cultuurwetenschappen;voltijd onderwijs;bachelor;0;0;0;0;0;3;0;3;2;7;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56823;B Algemene Cultuurwetenschappen;voltijd onderwijs;propedeuse bachelor;5;14;4;14;3;14;1;27;2;34;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56824;B Kunstgeschiedenis;voltijd onderwijs;bachelor;0;0;0;0;0;0;0;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56824;B Kunstgeschiedenis;voltijd onderwijs;propedeuse bachelor;0;7;6;7;3;6;2;8;3;6;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56826;B Communicatie- en Informatiewetenschappen;voltijd onderwijs;bachelor;0;1;0;2;0;1;0;1;0;2;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56826;B Communicatie- en Informatiewetenschappen;voltijd onderwijs;propedeuse bachelor;10;90;24;77;7;63;27;56;34;81;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);60644;M Business Administration;voltijd onderwijs;master;14;9;13;14;11;13;13;7;16;26;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;master;4;6;3;2;7;0;9;11;6;11;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;master;0;0;0;1;0;0;0;0;1;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60203;M Political Science;voltijd onderwijs;master;1;2;3;4;5;3;1;5;4;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60253;M Anthropology and Development Studies;voltijd onderwijs;master;0;4;3;3;4;8;4;4;2;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60260;M Psychologie;voltijd onderwijs;master;0;0;0;2;0;1;1;1;0;2;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60266;M Behavioural Science (research);voltijd onderwijs;master;1;2;1;6;3;6;2;5;7;16;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60466;M Human Geography;duaal onderwijs;master;0;0;0;0;0;1;0;0;0;3;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60466;M Human Geography;voltijd onderwijs;master;6;4;2;2;4;4;5;11;4;4;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66607;M Pedagogische Wetenschappen;voltijd onderwijs;master;0;0;0;1;0;2;0;3;1;4;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;duaal onderwijs;master;0;0;0;0;0;0;1;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;voltijd onderwijs;master;5;13;2;4;3;9;3;11;3;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66627;M Bestuurskunde;voltijd onderwijs;master;1;0;2;1;1;0;2;2;1;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66839;M Environment and Society Studies;voltijd onderwijs;master;0;0;4;6;0;1;3;6;1;3;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66551;M Geneeskunde;voltijd onderwijs;master;2;0;0;0;0;1;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66588;M Tandheelkunde;voltijd onderwijs;master;0;0;0;0;1;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66990;M Biomedical Sciences;voltijd onderwijs;master;1;1;3;3;0;6;0;12;3;9;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60255;M Information Sciences;voltijd onderwijs;master;4;0;4;2;3;1;5;0;3;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60303;M Molecular Life Sciences;voltijd onderwijs;master;0;0;1;2;0;2;1;0;2;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60322;M Molecular Mechanisms of Disease (research);voltijd onderwijs;master;0;11;1;7;1;7;2;8;1;7;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60364;M Computing Science;voltijd onderwijs;master;0;0;9;1;7;2;9;1;9;3;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60506;M Cognitive Neuroscience (research);voltijd onderwijs;master;6;16;5;14;11;12;9;16;5;16;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60610;M Medical Biology;voltijd onderwijs;master;1;2;1;3;0;4;5;9;3;5;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66857;M Chemistry;voltijd onderwijs;master;2;2;2;0;0;0;2;1;3;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66860;M Biology;voltijd onderwijs;master;6;7;5;8;12;9;4;11;6;14;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66978;M Informatica;voltijd onderwijs;master;2;1;0;0;0;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66980;M Mathematics;voltijd onderwijs;master;0;0;1;0;3;2;2;0;2;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66981;M Artificial Intelligence;voltijd onderwijs;master;0;0;4;3;6;1;6;5;5;2;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66984;M Physics and Astronomy;voltijd onderwijs;master;2;3;5;2;1;1;1;0;3;2;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);69304;M Moleculaire Levenswetenschappen;voltijd onderwijs;master;0;1;0;0;0;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);60504;M European Law;voltijd onderwijs;master;21;16;21;23;16;15;9;21;13;16;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);66451;M Nederlands recht;voltijd onderwijs;master;1;0;0;0;0;1;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);66827;M Fiscaal Recht;voltijd onderwijs;master;0;0;0;0;0;0;0;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);60087;M Kunst- & cultuurwetenschappen;voltijd onderwijs;master;0;0;1;5;4;4;3;9;0;14;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);60128;M Filosofie (research);voltijd onderwijs;master;2;0;1;0;6;2;5;1;2;2;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);60139;M Geschiedenis (research);voltijd onderwijs;master;0;0;0;0;0;1;1;1;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;1;1;4;1;5;0;2;0;3;0;
