PROVINCIE,GEMEENTENAAM,TYPE HOGER ONDERWIJS,INSTELLINGSNAAM ACTUEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW,2016 MAN,2016 VROUW,2017 MAN,2017 VROUW
Overijssel,ENSCHEDE,bachelor,Universiteit Twente,50033,B Klinische Technologie,49,62,44,68,40,84,37,84,38,78
Overijssel,ENSCHEDE,bachelor,Universiteit Twente,56654,B European Public Administration,33,50,50,72,29,40,25,40,28,47
Overijssel,ENSCHEDE,bachelor,Universiteit Twente,56615,B Communicatiewetenschap,15,46,12,28,14,23,16,43,15,56
Overijssel,ENSCHEDE,bachelor,Universiteit Twente,56604,B Psychologie,43,119,52,107,25,59,105,237,83,141
Overijssel,ENSCHEDE,bachelor,Universiteit Twente,50952,B International Business Administration,99,64,84,52,85,53,79,39,73,28
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56826,B Communicatie- en Informatiewetenschappen,4,28,7,18,3,21,7,25,5,29
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56704,B Oudheidwetenschappen,1,3,0,0,2,3,3,1,6,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56703,B Archeologie,3,3,1,3,1,0,4,1,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56114,B Religie en Levensbeschouwing,3,6,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56114,B Religie en Levensbeschouwing,1,0,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56081,B Wijsbegeerte,4,3,7,3,7,6,5,1,0,1
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56081,B Wijsbegeerte,0,0,2,1,1,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56034,B Geschiedenis,10,5,4,5,9,3,8,9,3,5
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56003,B Griekse en Latijnse Taal en Cultuur,2,2,1,1,1,4,1,1,0,3
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,55823,B Literatuur en Samenleving,2,6,1,6,0,7,8,27,12,23
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,55822,"B Media, Kunst, Design en Architectuur",6,24,4,16,4,25,2,22,6,16
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,55004,B Theologie (joint degree),1,2,7,4,3,0,3,0,3,2
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,55004,B Theologie (joint degree),0,0,0,1,1,1,1,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50902,B Religiewetenschappen,0,0,2,3,0,0,2,1,2,3
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50902,B Religiewetenschappen,0,0,1,0,0,1,0,0,3,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,55002,B Liberal Arts and Sciences (joint degree),45,86,33,67,42,66,37,93,35,82
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,54999,"B Philosophy, Politics and Economics",0,0,0,0,0,0,24,16,46,38
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56828,B Notarieel Recht,2,9,5,11,4,17,5,14,11,12
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56828,B Notarieel Recht,0,1,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50700,B Rechtsgeleerdheid,57,88,34,75,51,74,48,68,35,60
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50700,B Rechtsgeleerdheid,0,1,1,2,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56989,B Farmaceutische Wetenschappen,21,34,27,36,36,34,28,38,18,22
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56986,B Aardwetenschappen,29,15,27,26,39,26,40,20,39,22
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56984,B Natuur- en Sterrenkunde,11,3,3,0,8,1,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56983,B Lifestyle Informatics,18,17,14,16,6,8,10,11,8,21
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56980,B Wiskunde,6,4,5,6,9,6,5,3,4,4
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56980,B Wiskunde,0,0,1,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56869,"B Informatie, Multimedia en Management",31,8,45,10,26,15,28,9,25,8
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56860,B Biologie,5,4,5,8,4,9,7,9,1,7
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56857,B Scheikunde,15,2,4,2,7,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56856,B Business Analytics,24,12,38,14,33,18,46,26,47,31
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56856,B Business Analytics,0,0,1,1,1,0,2,2,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,55013,B Natuur- en Sterrenkunde (joint degree),0,0,0,0,0,0,0,0,5,2
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,55012,B Scheikunde (joint degree),0,0,0,0,0,0,0,0,5,1
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50800,B Medische Natuurwetenschappen,29,33,22,30,20,25,18,32,21,42
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50670,"B Science, Business & Innovation",46,8,44,22,36,24,53,24,47,24
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50668,B Aarde en Economie,40,18,44,16,26,13,39,17,26,20
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50426,B Computer Science,42,7,52,4,43,10,90,16,117,28
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56990,B Biomedische Wetenschappen,56,90,36,70,36,67,31,39,70,138
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56950,B Bewegingswetenschappen,94,75,66,62,53,64,46,67,66,84
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56560,B Tandheelkunde,10,23,13,18,9,31,15,37,10,36
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56553,B Gezondheidswetenschappen,18,112,14,88,3,50,18,67,9,68
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56551,B Geneeskunde,96,187,82,205,78,191,79,177,58,213
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50509,B Gezondheid en Leven,42,215,53,241,14,114,29,160,30,190
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56615,B Communicatiewetenschap,15,60,11,45,7,34,7,26,6,17
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56607,B Pedagogische Wetenschappen,0,43,1,28,1,22,0,36,0,23
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56606,B Politicologie,13,12,22,10,15,10,11,14,12,13
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56604,B Psychologie,39,156,40,118,26,114,31,102,70,212
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56601,B Sociologie,8,5,4,7,2,6,2,6,0,6
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56469,B Criminologie,16,55,10,42,18,79,13,85,16,73
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56469,B Criminologie,0,0,2,1,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50035,B Culturele Antropologie en Ontwikkelingssociologie,0,15,6,13,3,12,2,13,2,9
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50007,B Bestuurs- en Organisatiewetenschap,65,87,41,66,36,38,24,38,27,25
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,56833,B Econometrie en Operationele Research,35,15,36,13,32,18,29,9,52,20
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50952,B International Business Administration,73,51,59,63,67,63,94,69,76,65
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50950,B Economie en Bedrijfseconomie,90,58,79,26,63,30,60,13,73,31
Noord-Holland,AMSTERDAM,bachelor,Vrije Universiteit Amsterdam,50645,B Bedrijfskunde,119,84,109,81,112,53,100,52,111,52
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56825,B Archeologie en Prehistorie,2,8,4,7,1,2,3,2,2,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56824,B Kunstgeschiedenis,12,47,5,50,7,22,3,22,6,21
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56824,B Kunstgeschiedenis,1,1,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56824,B Kunstgeschiedenis,2,2,3,3,1,2,2,1,1,1
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56824,B Kunstgeschiedenis,0,1,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56823,B Algemene Cultuurwetenschappen,3,15,0,9,1,4,1,11,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56823,B Algemene Cultuurwetenschappen,0,0,1,1,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56816,B Latijnse Taal en Cultuur,0,0,2,1,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56816,B Latijnse Taal en Cultuur,1,1,0,0,0,0,0,1,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56814,B Nieuwgriekse Taal en Cultuur,1,2,0,0,0,1,0,1,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56814,B Nieuwgriekse Taal en Cultuur,0,0,0,0,1,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56814,B Nieuwgriekse Taal en Cultuur,0,0,0,1,0,0,0,0,0,1
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56813,B Slavische Talen en Culturen,3,5,0,2,0,9,1,0,1,4
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56813,B Slavische Talen en Culturen,0,2,1,0,0,1,0,0,1,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56810,B Spaanse Taal en Cultuur,5,8,2,8,0,2,5,3,1,3
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56810,B Spaanse Taal en Cultuur,0,2,0,0,1,1,0,1,0,1
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56809,B Italiaanse Taal en Cultuur,3,2,2,5,1,0,2,1,1,2
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56809,B Italiaanse Taal en Cultuur,0,1,0,1,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56808,B Franse Taal en Cultuur,1,1,2,5,0,10,0,6,2,7
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56808,B Franse Taal en Cultuur,0,0,0,1,0,1,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56807,B Scandinavische Talen en Culturen,3,7,1,5,2,5,1,7,2,5
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56807,B Scandinavische Talen en Culturen,0,0,0,0,0,0,0,1,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56806,B Engelse Taal en Cultuur,10,31,11,38,7,32,9,15,7,16
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56806,B Engelse Taal en Cultuur,1,1,0,0,2,0,1,1,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56805,B Duitse Taal en Cultuur,1,3,0,9,2,3,5,5,1,1
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56805,B Duitse Taal en Cultuur,0,0,0,0,0,0,0,1,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56804,B Nederlandse Taal en Cultuur,10,48,6,54,8,23,6,15,6,19
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56804,B Nederlandse Taal en Cultuur,0,0,1,1,0,1,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56803,B Taalwetenschap,1,10,3,11,3,9,0,5,15,37
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56803,B Taalwetenschap,0,0,0,0,0,0,0,2,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56802,B Literatuurwetenschap,1,8,3,11,0,5,11,39,14,48
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56802,B Literatuurwetenschap,0,0,0,0,0,0,0,0,1,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56702,B Theaterwetenschap,11,20,1,11,3,12,4,18,3,23
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56702,B Theaterwetenschap,0,0,0,0,0,2,1,0,2,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56700,B Muziekwetenschap,12,11,13,6,5,5,4,6,9,10
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56700,B Muziekwetenschap,0,1,0,1,1,1,2,0,0,2
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56700,B Muziekwetenschap,0,0,0,0,0,0,0,0,1,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56081,B Wijsbegeerte,28,31,28,23,20,25,18,17,22,26
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56081,B Wijsbegeerte,1,0,2,0,1,0,1,2,1,4
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56051,B Europese Studies,29,59,25,41,55,86,61,117,41,90
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56051,B Europese Studies,0,0,0,0,0,0,0,0,0,1
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56040,B Arabische Taal en Cultuur,1,4,2,1,3,1,2,9,3,3
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56040,B Arabische Taal en Cultuur,0,0,0,0,0,1,0,1,0,1
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56034,B Geschiedenis,69,41,56,26,24,28,37,32,31,38
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56034,B Geschiedenis,4,2,2,1,2,2,1,0,4,1
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56034,B Geschiedenis,0,0,0,0,0,0,0,0,1,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56003,B Griekse en Latijnse Taal en Cultuur,6,2,0,9,3,6,3,6,5,6
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50906,B Media en Cultuur,75,149,40,103,28,54,30,67,14,47
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50902,B Religiewetenschappen,1,6,0,1,0,1,1,1,1,5
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50902,B Religiewetenschappen,0,0,0,1,0,1,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50901,B Hebreeuwse Taal en Cultuur,0,0,1,2,0,1,0,1,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50901,B Hebreeuwse Taal en Cultuur,0,0,0,0,1,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50010,B Media en informatie,1,0,0,2,1,1,15,21,36,66
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50010,B Media en informatie,0,0,0,0,0,1,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50010,B Media en informatie,0,0,1,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50004,B Cultuurwetenschappen,0,0,0,0,0,0,0,0,2,3
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,59312,"B Politics, Psychology, Law and Economics",0,0,37,38,50,88,71,120,78,140
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,55002,B Liberal Arts and Sciences (joint degree),41,80,60,108,55,108,47,123,49,141
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50425,B Future Planet Studies,68,48,82,69,58,47,71,54,57,72
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56828,B Notarieel Recht,1,6,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56827,B Fiscaal Recht,16,12,19,11,12,8,15,8,29,17
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56827,B Fiscaal Recht,0,0,0,0,1,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50700,B Rechtsgeleerdheid,1,2,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50700,B Rechtsgeleerdheid,102,185,100,148,110,173,113,189,109,191
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50700,B Rechtsgeleerdheid,0,3,1,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56984,B Natuur- en Sterrenkunde,85,12,66,19,57,12,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56981,B Kunstmatige Intelligentie,47,9,42,15,46,12,81,24,89,30
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56980,B Wiskunde,32,18,33,7,39,11,30,10,19,8
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56978,B Informatica,2,0,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56978,B Informatica,50,3,49,5,53,3,64,5,57,5
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56860,B Biologie,20,16,27,21,20,20,22,26,22,20
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56857,B Scheikunde,22,14,50,13,25,16,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56842,B Informatiekunde,40,10,36,7,40,14,23,17,42,8
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,55013,B Natuur- en Sterrenkunde (joint degree),0,0,0,0,0,0,82,25,74,22
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,55012,B Scheikunde (joint degree),0,0,0,0,0,0,40,24,25,20
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50250,B Beta-gamma,46,60,61,60,39,49,49,46,36,47
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50014,B Psychobiologie,77,214,40,134,38,123,37,130,35,156
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56990,B Biomedische Wetenschappen,6,5,5,9,1,1,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56990,B Biomedische Wetenschappen,49,98,59,82,43,95,40,80,45,64
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56573,B Medische Informatiekunde,11,20,22,17,22,19,10,21,6,18
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56560,B Tandheelkunde,13,21,13,26,10,40,20,41,9,47
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56551,B Geneeskunde,0,1,0,1,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56551,B Geneeskunde,78,100,52,132,70,120,77,138,75,151
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56838,B Sociale Geografie en Planologie,42,38,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56838,B Sociale Geografie en Planologie,0,0,37,29,29,29,42,52,44,38
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56631,B Algemene Sociale Wetenschappen,19,60,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56631,B Algemene Sociale Wetenschappen,0,0,12,40,14,48,12,46,13,65
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56615,B Communicatiewetenschap,47,192,43,150,41,109,86,253,96,302
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56613,B Onderwijskunde,0,5,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56613,B Onderwijskunde,0,0,0,6,1,5,1,5,1,11
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56607,B Pedagogische Wetenschappen,5,58,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56607,B Pedagogische Wetenschappen,0,2,0,53,2,24,0,26,0,26
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56606,B Politicologie,55,77,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56606,B Politicologie,0,0,72,42,33,33,54,37,101,119
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56604,B Psychologie,94,243,87,217,48,161,64,150,52,138
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56604,B Psychologie,0,1,0,1,0,1,1,0,3,2
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56601,B Sociologie,23,40,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56601,B Sociologie,0,0,13,34,7,26,8,26,7,23
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50035,B Culturele Antropologie en Ontwikkelingssociologie,21,71,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50035,B Culturele Antropologie en Ontwikkelingssociologie,0,1,10,52,5,39,14,36,8,37
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,59318,B Economics and Business Economics,0,0,0,0,0,0,0,0,275,144
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56833,B Econometrie en Operationele Research,71,26,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56833,B Econometrie en Operationele Research,0,0,63,25,64,32,89,42,106,50
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56411,B Actuariele Wetenschappen,6,3,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56411,B Actuariele Wetenschappen,0,0,4,2,5,2,5,12,14,12
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56402,B Fiscale Economie,19,7,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,56402,B Fiscale Economie,0,0,18,12,30,8,15,10,26,8
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50905,B Economie en Bedrijfskunde,453,242,0,0,0,0,0,0,0,0
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50905,B Economie en Bedrijfskunde,3,9,426,224,345,212,412,261,5,4
Noord-Holland,AMSTERDAM,bachelor,Universiteit van Amsterdam,50897,B Business Administration,0,0,0,0,0,0,0,0,371,267
Noord-Holland,AMSTERDAM,bachelor,Protestantse Theologische Universiteit,55004,B Theologie (joint degree),1,0,4,3,0,0,2,1,1,3
Noord-Holland,AMSTERDAM,bachelor,Protestantse Theologische Universiteit,55004,B Theologie (joint degree),0,0,0,0,0,0,0,0,0,2
Noord-Brabant,TILBURG,bachelor,Tilburg University,55018,B Data Science (joint degree),0,0,0,0,0,0,0,0,23,9
Noord-Brabant,TILBURG,bachelor,Tilburg University,56826,B Communicatie- en Informatiewetenschappen,18,50,19,48,14,48,13,68,42,76
Noord-Brabant,TILBURG,bachelor,Tilburg University,56826,B Communicatie- en Informatiewetenschappen,0,0,0,1,0,1,0,1,0,0
Noord-Brabant,TILBURG,bachelor,Tilburg University,56823,B Algemene Cultuurwetenschappen,1,5,2,14,1,18,2,21,5,29
Noord-Brabant,TILBURG,bachelor,Tilburg University,56823,B Algemene Cultuurwetenschappen,0,0,0,0,0,0,0,0,0,1
Noord-Brabant,TILBURG,bachelor,Tilburg University,56109,B Theologie,3,3,3,1,2,2,1,0,3,1
Noord-Brabant,TILBURG,bachelor,Tilburg University,56109,B Theologie,1,1,0,2,3,1,0,2,2,1
Noord-Brabant,TILBURG,bachelor,Tilburg University,56081,B Wijsbegeerte,1,9,6,3,3,3,8,4,4,1
Noord-Brabant,TILBURG,bachelor,Tilburg University,56081,B Wijsbegeerte,2,0,0,0,1,0,1,0,0,0
Noord-Brabant,TILBURG,bachelor,Tilburg University,50393,B Liberal Arts and Sciences,34,37,25,45,21,44,22,43,25,60
Noord-Brabant,TILBURG,bachelor,Tilburg University,56827,B Fiscaal Recht,19,7,9,15,8,11,13,15,13,17
Noord-Brabant,TILBURG,bachelor,Tilburg University,56475,B Global Law,9,16,25,47,24,49,27,59,40,61
Noord-Brabant,TILBURG,bachelor,Tilburg University,50753,B Ondernemingsrecht,9,6,0,0,0,0,0,0,0,0
Noord-Brabant,TILBURG,bachelor,Tilburg University,50700,B Rechtsgeleerdheid,85,87,65,90,46,77,47,76,49,73
Noord-Brabant,TILBURG,bachelor,Tilburg University,56627,B Bestuurskunde,19,7,25,15,21,19,14,18,24,23
Noord-Brabant,TILBURG,bachelor,Tilburg University,56604,B Psychologie,49,145,42,124,29,123,57,184,94,255
Noord-Brabant,TILBURG,bachelor,Tilburg University,56601,B Sociologie,11,18,2,13,4,4,2,6,5,19
Noord-Brabant,TILBURG,bachelor,Tilburg University,50755,B Personeelwetenschappen,18,53,14,48,15,49,8,48,12,43
Noord-Brabant,TILBURG,bachelor,Tilburg University,50754,B Organisatiewetenschappen,12,40,27,28,40,69,39,59,26,55
Noord-Brabant,TILBURG,bachelor,Tilburg University,56833,B Econometrie en Operationele Research,75,29,47,15,66,27,60,35,93,38
Noord-Brabant,TILBURG,bachelor,Tilburg University,56402,B Fiscale Economie,35,19,23,12,31,9,19,11,38,16
Noord-Brabant,TILBURG,bachelor,Tilburg University,56401,B Economie,22,7,26,18,49,24,41,27,34,15
